An.Nr.,SiO2,TiO2,Al2O3,Fe2O3,MnO,MgO,CaO,Na2O,K2O,P2O5,SUM,Ba,Cr,Cu,Nb,Ni,Pb,Rb,Sr,V,Y,Zn,Zr,FeO,L O I
JB039,65.93,0.59,16.86,4.43,0.06,1.40,5.85,1.54,3.30,0.19,100.32,652,88,29,16,44,31,167,305,103,25,90,155,1.81,6.66
JB040,65.35,0.65,15.91,4.15,0.04,3.21,6.41,1.19,2.38,0.16,99.63,720,118,30,11,87,27,135,250,94,21,112,162,1.16,5.72
JB041,70.10,0.58,17.05,4.12,0.04,1.30,1.50,1.52,3.68,0.29,100.33,616,89,31,18,43,24,174,154,105,27,87,128,1.39,4.25
JB042,66.84,0.69,18.90,4.51,0.03,1.90,2.00,1.52,3.31,0.25,100.12,726,98,34,17,55,32,153,182,107,28,110,147,1.69,3.89
JB043,69.92,0.70,17.55,4.55,0.06,1.48,1.91,1.17,2.70,0.14,100.34,645,100,32,16,55,36,155,209,118,25,97,156,1.98,9.91
JB044,68.71,0.60,17.33,4.56,0.04,1.49,2.38,1.72,3.11,0.17,100.28,674,95,31,15,45,35,168,322,109,25,88,131,2.43,7.75
JB045,67.59,0.68,16.00,4.19,0.08,2.09,4.89,1.07,3.23,0.14,100.13,602,109,25,14,65,25,141,254,98,33,93,217,1.95,4.22
JB046,69.90,0.72,17.97,4.58,0.04,1.72,1.82,0.89,2.52,0.14,100.46,648,106,33,17,62,29,144,165,122,21,112,155,1.82,2.15
JB048,67.09,0.79,19.25,5.14,0.03,2.06,1.47,0.55,3.18,0.26,100.01,834,120,46,18,66,33,165,160,142,26,121,148,2.40,6.39
JB049,66.18,0.71,16.90,5.23,0.05,2.58,4.03,1.23,2.68,0.15,99.90,612,121,30,14,75,27,143,188,117,32,93,172,2.23,6.66
JB050,65.31,0.65,16.74,3.91,0.05,1.71,8.63,0.55,2.32,0.19,100.22,602,94,36,17,55,26,129,249,110,24,117,133,1.68,10.92
JB051,65.55,0.74,16.81,4.56,0.06,3.18,5.02,0.63,2.94,0.37,100.02,592,137,48,14,84,28,144,185,121,30,105,159,2.29,4.74
JB052,64.04,0.87,18.79,6.12,0.07,2.58,3.25,1.11,2.70,0.31,100.02,747,97,29,13,50,24,136,206,155,27,120,161,2.34,6.58
JB053,67.23,0.73,18.05,4.68,0.05,1.82,3.99,0.64,2.55,0.15,100.05,646,113,39,13,58,28,147,204,130,25,102,134,1.92,9.14
JB054,66.77,0.72,18.39,5.54,0.05,1.71,1.94,1.19,3.19,0.21,99.88,665,104,33,15,52,31,159,217,132,27,100,163,3.18,5.33
JB055,67.70,0.57,17.61,3.79,0.03,1.51,3.88,1.60,2.82,0.18,99.83,528,90,38,14,58,27,152,196,95,23,83,134,1.03,5.73
JB056,68.87,0.53,17.09,4.08,0.06,1.23,2.57,2.03,3.60,0.11,100.31,462,85,39,9,41,39,194,226,91,21,69,109,2.69,1.76
JB057,64.47,0.68,19.47,4.62,0.03,2.08,2.62,1.24,4.21,0.32,99.92,817,119,29,16,67,30,189,193,126,24,109,122,1.56,4.56
JB058,68.82,0.60,15.96,3.75,0.04,1.62,5.30,0.86,2.92,0.19,100.21,574,95,40,14,53,29,146,185,98,23,89,133,1.13,7.37
JB060,65.66,0.74,18.40,4.72,0.04,2.00,2.21,1.41,3.80,0.36,99.52,760,99,36,17,51,29,170,179,113,32,113,203,2.39,3.12
JB061,68.55,0.63,17.94,4.46,0.04,1.43,1.58,1.60,3.47,0.23,100.12,838,98,31,16,48,30,182,279,112,19,100,126,1.01,2.94
JB062,68.19,0.59,17.84,4.65,0.04,1.53,1.69,1.40,3.50,0.26,99.86,687,101,30,13,53,35,191,203,112,24,90,112,1.44,4.54
JB063,65.54,0.77,18.20,5.57,0.06,1.77,4.38,0.34,2.90,0.26,99.97,662,124,41,16,61,32,174,232,146,25,113,139,3.83,3.82
JB064,68.62,0.52,16.25,3.87,0.06,1.92,3.38,1.91,3.16,0.16,100.01,665,102,31,22,65,29,178,192,86,25,80,127,2.35,6.81
JB065,70.02,0.55,15.79,4.12,0.03,1.29,3.67,1.28,3.05,0.35,100.31,580,97,33,14,48,31,181,177,106,31,117,150,2.17,12.18
JB066,66.21,0.79,19.01,6.08,0.05,1.91,2.71,0.53,2.82,0.16,100.44,609,132,44,15,77,23,178,207,148,26,120,131,2.89,3.27
JB067,66.47,0.77,18.38,5.23,0.05,1.84,3.01,1.04,2.41,0.28,99.66,726,117,38,15,58,25,131,223,141,25,106,151,1.39,5.17
JB068,67.23,0.74,18.03,4.77,0.05,1.55,3.65,0.69,2.77,0.24,99.92,883,112,43,17,61,29,158,266,135,24,100,138,2.23,5.96
JB071,72.07,0.71,16.26,3.69,0.04,1.28,1.91,0.77,2.91,0.19,99.99,626,97,39,15,52,28,154,141,108,28,97,166,2.14,3.86
JB072,68.99,0.60,18.37,4.33,0.04,1.57,1.26,1.30,3.16,0.11,99.87,546,97,34,16,60,30,178,115,108,23,95,113,1.38,6.56
JB074,67.69,0.73,16.78,4.80,0.07,1.66,4.35,0.63,2.81,0.22,99.92,793,96,40,14,55,25,133,233,134,25,95,155,2.39,6.29
JB075,68.61,0.79,17.01,4.38,0.05,1.58,4.12,0.37,2.43,0.22,99.75,772,164,38,18,79,29,148,204,125,23,111,152,1.50,7.16
