"","lat","lng"
"1716",38.61468,-8.005558
"1717",38.613769,-8.004423
"1718",38.611987,-8.006171
"1719",38.672308,-8.000159
"1720",38.671313,-7.988682
"1721",38.613,-8.002162
"1722",38.611873,-7.993542
"1723",38.617257,-7.990592
"1724",38.61521,-7.996463
"1725",38.612815,-7.997547
"1726",38.607391,-7.996467
"1727",37.266667,-8.326308
"1728",38.386388,-7.46697
"1729",38.381022,-7.473886
"1730",NA,NA
"1731",NA,NA
"1732",38.392687,-7.465768
"1733",38.397638,-7.549573
"1734",NA,NA
"1735",NA,NA
"1736",38.608005,-8.014834
"1737",38.607515,-8.010829
"1738",38.612069,-8.01593
"1739",38.611148,-8.014221
"1740",38.604874,-8.01833
"1741",38.615241,-8.026316
"1742",38.6147,-8.00728
"1743",38.622439,-8.017509
"1744",38.617392,-8.006667
"1745",38.616522,-8.010124
"1746",38.613799,-8.007867
"1747",38.500559,-7.856824
"1748",NA,NA
"1749",38.039569,-8.256231
"1750",38.76023,-7.651329
"1751",38.548581,-8.861796
"1752",NA,NA
"1753",38.367872,-7.845257
"1754",38.362966,-7.850493
"1755",38.363228,-7.854772
"1756",38.363252,-7.85706
"1757",38.320123,-7.760883
"1758",38.349366,-7.749866
"1759",38.780321,-8.207314
"1760",38.552105,-8.053757
"1761",NA,NA
"1762",NA,NA
"1763",NA,NA
"1764",38.376512,-7.876602
"1765",NA,NA
"1766",NA,NA
"1767",38.378383,-7.884011
"1768",38.373689,-7.887815
"1769",38.379596,-7.869976
"1770",38.905527,-7.987034
"1771",NA,NA
"1772",37.776863,-7.449726
"1773",37.12981,-8.549463
"1774",NA,NA
"1775",37.188442,-8.479127
"1776",37.140494,-8.370657
"1777",NA,NA
"1778",38.897651,-7.883825
"1779",NA,NA
"1780",38.785082,-7.523701
"1781",37.16429,-8.232161
"1782",38.495817,-8.06088
"1783",38.503385,-8.062821
"1784",37.750099,-8.413354
"1785",38.680507,-7.985997
"1786",38.682747,-7.976798
"1787",38.683467,-7.976441
"1788",38.647509,-7.985272
"1789",38.760671,-8.212666
"1790",38.766074,-8.215204
"1791",37.10866,-8.379467
"1792",38.600475,-7.280183
"1793",NA,NA
"1794",38.737126,-7.808475
"1795",38.641273,-8.006912
"1796",38.643494,-8.002865
"1797",38.640833,-8.007499
"1798",38.643955,-8.004002
"1799",38.644395,-8.002852
"1800",NA,NA
"1801",38.637177,-8.001223
"1802",38.63718,-8.003841
"1803",38.314388,-8.067919
"1804",38.796272,-7.601591
"1805",NA,NA
"1806",38.711153,-8.052376
"1807",37.246587,-8.344977
"1808",38.042726,-8.252705
"1809",38.773844,-7.78098
"1810",38.670594,-8.282187
"1811",38.704401,-8.259553
"1812",38.700707,-8.259891
"1813",38.705687,-8.233919
"1814",38.702802,-8.237019
"1815",38.698027,-8.237471
"1816",38.699395,-8.216794
"1817",38.394555,-7.519264
"1818",38.385925,-7.505602
"1819",38.38416,-7.512485
"1820",38.389513,-7.50271
"1821",38.39086,-7.50184
"1822",38.763787,-7.459452
"1823",38.825403,-7.525661
"1824",37.720727,-8.763151
"1825",38.409625,-7.363144
"1826",NA,NA
"1827",37.083841,-8.910225
"1828",NA,NA
"1829",NA,NA
"1830",38.5735,-7.960969
"1831",38.392932,-7.755657
"1832",38.414,-7.376505
"1833",38.417462,-7.391114
"1834",38.405759,-7.392379
"1835",38.416576,-7.393413
"1836",38.403907,-7.384384
"1837",38.419256,-7.389951
"1838",NA,NA
"1839",38.403013,-7.385538
"1840",38.414752,-7.389997
"1841",38.414738,-7.387707
"1842",38.637132,-8.109552
"1844",38.526525,-8.219676
"1845",NA,NA
"1846",NA,NA
"1847",NA,NA
"1848",38.478949,-7.955532
"1849",NA,NA
"1850",NA,NA
"1851",NA,NA
"1852",38.791803,-8.234386
"1853",NA,NA
"1854",NA,NA
"1855",38.73058,-8.076309
"1856",38.349889,-7.647581
"1857",38.537425,-8.014227
"1858",38.731122,-8.080863
"1859",NA,NA
"1860",NA,NA
"1861",NA,NA
"1862",38.544951,-8.019055
"1863",38.546391,-8.017298
"1864",37.24078,-8.314949
"1865",38.492725,-7.796196
"1866",38.613737,-8.000404
"1867",38.72128,-8.004059
"1868",38.722452,-8.004229
"1869",38.760843,-7.623736
"1870",38.760843,-7.623736
"1871",38.764471,-7.62539
"1872",38.764471,-7.62539
"1873",37.984184,-7.47523
"1874",38.51929,-8.013351
"1875",38.419513,-7.384979
"1876",38.636907,-8.110126
"1877",38.468324,-7.958927
"1878",38.474618,-7.95089
"1879",38.670571,-7.767696
"1880",38.663379,-7.772329
"1881",38.518254,-8.005166
"1882",38.520635,-8.007523
"1883",38.502791,-8.008827
"1884",38.520861,-8.008681
"1885",NA,NA
"1886",NA,NA
"1887",38.520155,-8.005128
"1888",38.40771,-7.416401
"1889",38.463659,-7.87186
"1890",38.362883,-7.932863
"1891",38.363788,-7.935149
"1892",38.624056,-8.071374
"1893",38.480728,-7.851743
"1894",38.688075,-7.311326
"1895",38.614355,-8.044114
"1896",38.255222,-7.509366
"1897",38.456529,-8.04504
"1898",38.456711,-8.047171
"1899",38.452757,-8.048286
"1900",38.710741,-7.79566
"1901",38.268251,-7.62174
"1902",38.622298,-7.917218
"1903",38.589735,-7.854188
"1904",38.426561,-7.806718
"1905",NA,NA
"1906",38.677424,-8.061848
"1907",38.674762,-8.054726
"1908",38.911933,-7.580554
"1909",38.63745,-8.003198
"1911",38.775594,-7.794204
"1912",38.676381,-7.659555
"1913",38.713838,-7.987539
"1914",38.614306,-7.517972
"1915",NA,NA
"1916",NA,NA
"1917",38.76086,-8.020244
"1918",38.603926,-8.078222
"1919",38.683165,-8.051396
"1920",38.68125,-8.058316
"1921",38.681565,-8.057443
"1922",38.678769,-8.052079
"1923",38.667457,-7.996365
"1924",38.246964,-7.8555
"1925",37.761778,-7.741655
"1926",38.664803,-8.047384
"1927",38.894013,-8.017499
"1928",NA,NA
"1929",38.353674,-7.837934
"1930",38.350975,-7.839089
"1931",38.350986,-7.843665
"1932",38.348269,-7.837956
"1933",NA,NA
"1935",38.54147,-7.685766
"1936",NA,NA
"1937",38.780303,-8.206727
"1938",38.647468,-8.021513
"1939",37.750419,-7.696044
"1940",NA,NA
"1941",38.425597,-7.826683
"1942",38.431745,-7.818182
"1943",38.732725,-8.159111
"1944",38.732356,-8.158203
"1945",38.731987,-8.157271
"1946",38.814065,-8.250387
"1947",38.699479,-8.235899
"1948",38.472318,-7.922248
"1949",NA,NA
"1950",38.629131,-8.103376
"1951",38.832284,-8.128941
"1952",38.923738,-7.593089
"1953",38.443505,-7.749942
"1954",37.926538,-8.217826
"1955",NA,NA
"1956",38.521243,-8.234175
"1957",38.340986,-7.57033
"1958",38.764086,-8.195251
"1959",37.92472,-8.237727
"1960",38.390326,-7.969781
"1961",38.661746,-7.83208
"1962",38.247198,-7.48982
"1963",38.415282,-8.062104
"1964",38.667074,-7.562159
"1965",37.91978,-8.218387
"1966",38.394382,-7.529281
"1967",38.393258,-7.529577
"1968",38.398431,-7.528389
"1969",38.578711,-7.698044
"1970",38.501419,-7.883096
"1971",38.713418,-7.787024
"1972",38.715213,-7.784716
"1973",38.290512,-7.565004
"1974",NA,NA
"1975",38.628405,-7.281001
"1976",37.944136,-8.141054
"1977",38.53859,-7.793998
"1978",38.679887,-7.299927
"1979",38.648671,-7.770254
"1980",38.768661,-8.138598
"1981",38.621316,-7.877032
"1982",38.622498,-7.877958
"1983",38.591269,-7.844265
"1984",38.448886,-7.742468
"1985",NA,NA
"1986",38.639653,-7.778902
"1987",38.586883,-8.049312
"1988",38.769307,-8.227577
"1989",38.623256,-7.878506
"1990",38.620604,-7.8729
"1991",NA,NA
"1992",38.592035,-8.078231
"1993",37.894095,-8.229157
"1994",NA,NA
"1995",38.761814,-8.225139
"1996",38.768025,-8.288684
"1997",38.469228,-7.960644
"1998",38.673744,-7.550178
"1999",38.684736,-7.98277
"2000",NA,NA
"2001",38.096236,-7.75518
"2002",38.507987,-7.914968
"2003",38.51419,-7.912954
"2004",38.704794,-8.235458
"2005",NA,NA
"2006",38.766974,-8.215193
"2007",37.784641,-7.668735
"2008",38.702483,-7.616114
"2009",38.425156,-7.659
"2010",38.942085,-8.034769
"2011",38.811661,-7.67257
"2012",38.292363,-7.575277
"2013",38.469068,-7.873559
"2014",38.992185,-8.191331
"2015",38.720283,-8.240436
"2016",38.755199,-8.205413
"2017",38.892173,-7.970003
"2018",38.663346,-7.824031
"2019",38.643581,-8.107034
"2020",NA,NA
"2021",38.909335,-8.009162
"2022",38.908885,-8.009163
"2023",38.928966,-8.003362
"2024",38.912765,-8.016074
"2025",38.909159,-8.012391
"2026",38.906455,-8.010896
